car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Authentique,$49.990.000,2022,65.000,Gris,Gasolina
Renault Logan Life +,$62.896.200,2024,0,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$57.000.000,2023,2.200,Plateado,Gasolina
Renault Logan intens,$40.900.000,2018,51.078,Rojo,Gasolina
Renault Logan 1.6 Authentique / Life,$32.800.000,2017,78.000,Gris,Gasolina
Renault Logan 1.6 Life Plus,$65.090.000,2024,0,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$35.500.000,2017,123.500,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2011,171.000,Negro,Gasolina
Renault Logan 1.6 Life,$40.000.000,2021,39.125,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$39.900.000,2020,47.000,Plateado,Gasolina
Renault Logan 1.6 Authentique,$33.000.000,2017,82.300,Gris,Gasolina
Renault Logan Authentique life mt 1600cc,$35.500.000,2020,56.000,Plateado,Gasolina
Renault Logan 1.6 Life Plus,$57.900.000,2024,18.180,Blanco,Gasolina
Renault Logan 1.6 Authentique / Life,$54.400.000,2023,67.149,Gris,Gasolina
Renault Logan 1.6 Expression,$33.900.000,2016,75.800,Color not found,Gasolina
Renault Logan 2.0 Mecanico Sedan,$16.700.000,2000,140.000,Azul,Gasolina
Renault Logan 1.4 Entry Familier Fii,$28.000.000,2014,118.000,Rojo,Gasolina
Renault Logan 1.6 Authentique,$39.500.000,2019,48.600,Color not found,Gasolina
Renault Logan 1.6 Dynamique Nd,$26.800.000,2011,94.000,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$31.900.000,2014,57.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$38.600.000,2019,45.000,Gris,Gasolina
Renault Logan Life +,$39.500.000,2019,48.000,Rojo,Gasolina
Renault Logan 1.6 Authentique / Life,$44.800.000,2023,20.000,Color not found,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.800.000,2011,142.000,Gris,Gasolina
Renault Logan Zen Mt 1.6cc 16v 2020,$37.900.000,2020,96.800,Rojo,Gasolina
Renault Logan 1.6 Privilege / Intens,$52.000.000,2021,43.500,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$54.500.000,2022,23.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$46.900.000,2023,24.000,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$31.500.000,2015,78.000,Color not found,Gasolina
Renault Logan 1.4 Expression,$20.500.000,2007,170.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$34.900.000,2019,55.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$23.900.000,2012,115.000,Marrón,Gasolina
Renault Logan 1.6 Privilege / Intens,$33.800.000,2017,123.000,Plateado,Gasolina
Renault Logan Mod 2022 At,$50.000.000,2022,65.543,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.900.000,2013,130.000,Color not found,Gasolina
Renault Logan 1.6 Dynamique,$31.990.000,2017,84.919,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$42.800.000,2022,18.000,Plateado,Gasolina
Renault Logan Life Mt 1.6cc 16v 2020,$39.900.000,2020,45.600,Plateado,Gasolina
Renault Logan AUTHENTIQUE 8V,$30.900.000,2017,Publicado,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$50.900.000,2022,16.800,Gris,Gasolina
Renault Logan 1.6 Dynamique,$34.760.000,2016,77.999,Gris,Gasolina
Renault Logan Trip Advisor Modelo 2018,$38.000.000,2018,100.000,Gris,Gasolina
Renault Logan Exclusive 2019,$41.999.999,2019,59.000,Gris,Gasolina
Renault Logan 1.6 Privilige Mecánico,$39.000.000,2018,75.000,Plateado,Gasolina
Renault Logan 1.6 PRIVILEGE AUT,$54.900.000,2021,55.000,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$44.500.000,2023,21.000,Blanco,Gasolina
Renault Logan Intens 1.6 Mt,$56.900.000,2022,37.576,Gris,Gasolina
Renault Logan Life+,$32.399.999,2017,75.000,Gris,Gasolina
Renault Logan 1.6 Zen Mt 2023,$56.900.000,2023,51.157,Color not found,Gasolina
Renault Logan Mod 2022 At,$50.000.000,2022,60.305,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$26.500.000,2012,73.500,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.900.000,2012,123.000,Dorado,Gasolina
Renault Logan 1.6 Expression,$18.900.000,2008,143.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.900.000,2014,149.000,Negro,Gasolina
Renault Logan 1.6 Dynamique Fii,$29.800.000,2015,75.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$41.900.000,2023,30.000,Plateado,Gasolina
Renault Logan 1.6 Life,$45.800.000,2023,27.000,Blanco,Gasolina
Renault Logan Life + Mt1.6cc 16v 2024,$56.900.000,2024,37.700,Gris,Gasolina
Renault Logan 1.6 Expression Nd,$18.900.000,2010,163.000,Blanco,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,70.886,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$33.900.000,2018,50.200,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$24.800.000,2013,98.125,Dorado,Gasolina
Renault Logan 1.6 Expression,$36.900.000,2019,68.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$39.900.000,2020,101.000,Dorado,Gasolina
Renault Logan 1.6 Automatico,$47.500.000,2022,37.000,Gris,Gasolina
Renault Logan 1.6 Life,$43.500.000,2023,28.000,Plateado,Gasolina
Renault Logan LIFE,$42.000.000,2020,27.340,Gris,Gasolina
Renault Logan 2021,$39.900.000,2021,75.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$22.900.000,2011,112.000,Azul,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,55.963,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,64.255,Gris,Gasolina
